,English words/sentences,French words/sentences
185,we care,nos preocupamos
186,we know,lo sabemos
187,we lost,perdimos
188,welcome,bienvenidos
189,welcome,bienvenidas
190,who ate,quien comio
191,who ran,quien corria
192,who ran,quien corrio
193,who won,quien gano
194,who won,quien ha ganado
195,why not,por que no
196,you run,corre
197,you won,has ganado
198,am i fat,estoy gordo
199,ask them,preguntales
200,ask them,preguntales
201,back off,aparta
202,back off,apartate
203,be a man,se un hombre
204,be brave,se fuerte
205,be brief,se breve
206,be brief,sea breve
207,be brief,sean breves
208,be quiet,estate quieto
209,be still,no te muevas
210,call tom,llamalo a tomas
211,call tom,llamalo a tomas
212,call tom,llamenlo a tomas
213,cheer up,animate
214,cheer up,venga
215,cool off,calmate
216,cuff him,esposale
217,dont go,no te vayas
218,drive on,continua
219,find tom,encontralo a tomas
220,find tom,encuentralo a tomas
221,find tom,encuentrelo a tomas
222,find tom,encuentrenlo a tomas
223,find tom,encuentre a tom
224,find tom,encuentren a tom
225,fix this,arregla esto
226,get away,vete de aqui
227,get away,largate
228,get away,largo
229,get away,vete ya
230,get down,ponte a ello
231,get down,abajo
232,get down,tumbate
233,get lost,pierdete
234,get lost,vete de aqui
235,get lost,largate
236,get lost,largo
237,get lost,vete ya
238,get lost,esfumate
239,get real,despierta
240,get real,piensalo bien
241,get real,abre los ojos
242,go ahead,adelante
243,go ahead,adelante
244,go on in,entre
245,go on in,entra
246,go on in,entren
247,go on in,entra
248,go on in,entrad
249,going up,subes
250,good job,buen trabajo
251,grab tom,sujeta a tom
252,grab him,agarralo
253,have fun,diviertanse
254,have fun,pasala bien
255,have fun,pasenla bien
256,he spoke,el hablo
257,he tries,el lo intenta
258,he tries,el prueba
259,help tom,ayuda a tom
260,help him,ayudalo
261,hi guys,hola que hay
262,hi guys,ey chavales
263,hi guys,que pasa troncos
264,hi guys,buenas
265,hi guys,que tal os va
266,hi guys,hola por aqui
267,how cute,que encanto
268,how deep,que tan profundo
269,how deep,como de profundo
270,humor me,hazme el favor
271,humor me,complaceme
272,hurry up,date prisa
273,hurry up,apresurate
274,i agreed,convine
275,i agreed,acepte
276,i agreed,accedi
277,i am fat,soy gorda
278,i am old,estoy viejo
279,i ate it,me lo comi
280,i ate it,me la comi
281,i can go,puedo ir
282,i did ok,lo hice bien
283,i did it,lo hice
284,i failed,fracase
285,i forgot,lo olvide
286,i get by,me las arreglo
287,i get it,lo entiendo
288,i got it,lo tengo
289,i phoned,llame por telefono
290,i refuse,me niego
291,i resign,dimito
292,i resign,renuncio
293,i saw it,lo vi
294,i smiled,sonrei
295,i stayed,me quede
296,i talked,hable
297,i talked,hablaba
298,i talked,charle
299,i talked,charlaba
300,i use it,yo lo uso
301,i waited,espere
302,ill pay,yo pagare
303,im back,he vuelto
304,im back,estoy de vuelta
305,im bald,soy calvo
306,im bald,estoy calvo
307,im calm,estoy calmado
308,im cool,estoy tranquilo
309,im done,he terminado
310,im easy,soy bastante facilon
311,im fair,soy justo
312,im fine,estoy perfectamente
313,im free,soy libre
314,im free,yo soy libre
315,im full,estoy lleno
316,im full,estoy llena
317,im full,ya me llene
318,im here,estoy aqui
319,im home,estoy en casa
320,im hurt,estoy herido
321,im late,llego tarde
322,im lazy,soy vago
323,im lost,estoy perdida
324,im mean,soy malo
325,im next,me toca a mi
326,im okay,estoy perfectamente
327,im poor,soy pobre
328,im rich,soy rica
329,im rich,soy rico
330,im safe,estoy a salvo
331,im sick,estoy enferma
332,im thin,soy delgado
333,im tidy,estoy limpio
334,im warm,estoy calentito
335,im weak,estoy debil
336,im wise,soy listo
337,ive won,gane
338,it helps,eso ayuda
339,it hurts,duele
340,it works,funciona
341,its tom,es tom
342,its fun,es divertido
343,its his,es suyo
344,its new,es nuevo
345,its odd,es extrano
346,its old,es viejo
347,its red,es rojo
348,its sad,es triste
349,keep out,prohibido pasar
350,keep out,no entrar
351,kiss tom,besa a tomas
352,kiss tom,besa a tomas
353,kiss tom,besen a tomas
354,leave it,dejalo
355,leave me,dejame
356,leave us,dejanos
357,lets go,vamos
358,lets go,orale
359,lets go,orale
360,look out,cuidado
361,marry me,casate conmigo
362,may i go,puedo ir
363,save tom,salva a tom
364,she came,ella vino
365,she died,ella murio
366,she runs,ella corre
367,sit down,sentate
368,sit down,sientate
369,sit here,sientate aqui
370,speak up,hable mas fuerte
371,speak up,habla mas fuerte
372,speak up,habla mas alto
373,stand by,preparate
374,stand by,un momento
375,stand up,parate
376,stand up,de pie
377,stay put,no te muevas
378,stop tom,deten a tom
379,take tom,llevate a tom
380,tell tom,diselo a tom
381,terrific,genial
382,terrific,orale
383,they won,ellos ganaron
384,tom came,tom vino
385,tom died,tom ha muerto
386,tom fell,tom se cayo
387,tom knew,tom lo sabia
388,tom knew,tom tenia constancia de ello
389,tom left,tom se fue
390,tom lied,tom mintio
391,tom lies,tomas miente
392,tom lost,tom perdio
393,tom paid,tom pago
394,tom quit,tom renuncio
395,tom swam,tom nado
396,tom wept,tom lloro
397,toms up,tom se ha levantado
398,too late,demasiado tarde
399,trust me,confia en mi
400,try hard,intentalo de veras
401,try some,prueba un poco
402,try some,pruebe un poco
403,try some,prueben un poco
404,try this,prueben esto
405,try this,proba esto
406,try this,prueba esto
407,use this,usa esto
408,warn tom,avisale a tom
409,warn tom,avisele a tom
410,warn tom,avisenle a tom
411,warn tom,avisale a tom
412,watch me,mirame
413,watch me,vigilame
414,watch me,observame
415,watch us,observalos
416,watch us,observanos
417,we agree,estamos de acuerdo
418,we tried,lo intentamos
419,well go,iremos
420,were ok,estamos bien
421,what for,para que
422,what fun,que divertido
423,who am i,quien soy yo
424,who came,quien vino
425,who died,quien murio
426,who fell,quien se callo
427,who fell,quien se cayo
428,who quit,quien se ha ido
429,who quit,quien lo ha dejado
430,who swam,quien nado
431,whos he,quien es el
432,write me,escribeme
433,after you,despues de ti
434,after you,tu primero
435,after you,usted primero
436,after you,despues de usted
437,after you,despues de vosotras
438,aim fire,apunta fuego
439,answer me,respondeme
440,answer me,respondedme
441,answer me,respondanme
442,birds fly,los pajaros vuelan
443,bless you,jesus
444,call home,llama a casa
445,calm down,calmate
446,calm down,tranquilizate
447,calm down,tomatelo con soda
448,calm down,baja un cambio
449,can we go,podemos ir
450,can we go,podemos irnos
451,can we go,podemos marcharnos
452,catch tom,atrapelo a tomas
453,catch him,capturalo
454,catch him,capturenlo
455,catch him,atrapenlo
456,catch him,atrapalo
457,come back,vuelve
458,come here,veni
459,come here,ven
460,come here,venid aqui
461,come home,ven a casa
462,come over,venid aqui
463,come over,vente
464,come over,venios
465,come over,venga aqui
466,come soon,vuelve pronto
467,did i win,yo gane
468,did i win,gane
469,do it now,hazlo ahora
470,dogs bark,los perros ladran
471,dont ask,no preguntes
472,dont cry,no llores
473,dont cry,no llores
474,dont cry,no llores
475,dont cry,no lloren
476,dont die,no te mueras
477,dont lie,no mintais
478,dont run,no corras
479,fantastic,fantastico
480,fantastic,es estupendo
481,fantastic,orale
482,feel this,tienta esto
483,feel this,tiente esto
484,feel this,tienten esto
485,feel this,tentad esto
486,feel this,tenta esto
487,follow me,sigueme
488,follow me,seguidme
489,follow us,siguenos
490,forget it,dejalo
491,forget me,olvidame
492,forget me,olvidate de mi
493,forget me,olvidenme
494,forget me,olvidense de mi
495,get ready,preparaos
496,go for it,ve a por ello
497,go for it,ve a cogerlo
498,go get it,ve a por ello
499,go get it,vete a por ello
500,go get it,id a por ello
501,go inside,entra
502,go to bed,vete a la cama
503,grab that,cogelo
504,grab this,agarra esto
505,have some,coge alguno
506,have some,toma algo
507,have some,tome alguno
508,he is old,el es viejo
509,he is old,el es anciano
510,he shaved,el se afeito
511,he smiled,sonrio
512,hes a dj,el es dj
513,hes fast,el es veloz
514,hes good,el es bueno
515,hes rich,el es rico
516,hes rich,es rico
517,here i am,aca estoy
518,hold this,sosten esto
519,how awful,que horror
520,how weird,que raro
521,hows tom,como esta tom
522,humor tom,divierte a tom
523,i am busy,estoy ocupada
524,i am full,estoy lleno
525,i am full,estoy llena
526,i am good,soy bueno
527,i am here,estoy aqui
528,i am sick,estoy enferma
529,i am weak,estoy debil
530,i beg you,te lo ruego
531,i beg you,te lo suplico
532,i can fly,puedo volar
533,i can run,puedo correr
534,i can run,se correr
535,i can ski,se esquiar
536,i cringed,senti verguenza
537,i fainted,perdi la consciencia
538,i fainted,quede inconsciente
539,i gave up,lo deje
540,i gave up,me rendi
541,i gave up,tire la toalla
542,i gave up,cedi
543,i get you,te entiendo
544,i get you,te pillo
545,i get you,ya te pillo
546,i got hit,me dieron
547,i got hit,me alcanzaron
548,i hate it,lo odio
549,i hate it,me la seca
550,i hate it,me la baja
551,i hit tom,golpeo a tom
552,i hope so,eso espero
553,i knew it,lo sabia
554,i laughed,me rei
555,i like it,me gusta
556,i love it,lo adoro
557,i love it,me encanta
558,i mean it,hablo en serio
559,i mean it,lo digo en serio
560,i mean it,hablo en serio
561,i miss it,lo echo en falta
562,i miss it,lo echo de menos
563,i miss it,lo anoro
564,i need it,lo necesito
565,i saw tom,vi a tom
566,i saw him,le vi
567,i saw him,lo vi
568,i saw one,vi uno
569,i saw one,vi a uno
570,i saw one,veia a uno
571,i saw you,te vi
572,i saw you,te he visto
573,i see tom,veo a tom
574,i tripped,me tropece
575,ill cook,yo cocinare
576,ill cook,yo guisare
577,ill live,vivire
578,ill sing,cantare
579,ill stop,parare
580,ill stop,lo dejare
581,ill wait,esperare
582,ill wait,aguardare
583,ill walk,caminare
584,ill walk,andare
585,ill work,voy a trabajar
586,im a man,soy un hombre
587,im a pro,soy un pro
588,im alone,estoy solo
589,im alone,estoy sola
590,im alone,yo estoy solo
591,im alone,yo estoy sola
592,im angry,estoy enojado
593,im angry,estoy enojada
594,im awake,estoy despierto
595,im blind,soy ciega
596,im broke,estoy sin dinero
597,im broke,estoy quebrado
598,im broke,estoy sin blanca
599,im broke,no tengo blanca
600,im crazy,estoy loco
601,im drunk,estoy borracho
602,im drunk,estoy tomada
603,im drunk,estoy prendida
604,im dying,me estoy muriendo
605,im first,soy el primero
606,im first,voy el primero
607,im first,me toca primero
608,im first,yo voy primero
609,im happy,soy feliz
610,im happy,estoy feliz
611,im loved,soy amado
612,im loved,soy amada
613,im obese,soy obeso
614,im ready,estoy listo
615,im sorry,lo siento
616,im tired,yo estoy cansado
617,im tired,yo estoy cansada
618,im yours,soy tuyo
619,im yours,soy tuya
620,im yours,soy suyo
621,ive lost,he perdido
622,ignore it,olvidalo
623,ignore it,no hagas caso
624,is tom ok,esta bien tom
625,is tom in,esta tom
626,is it bad,es grave
627,is it bad,es malo
628,is it far,esta lejos
629,is it you,eres tu
630,it burned,se quemo
631,it failed,no lo consiguio
632,it failed,fallo
633,it failed,fracaso
634,it is new,es nuevo
635,it rained,llovio
636,it snowed,nevo
637,it stinks,apesta
638,it worked,funciono
639,its,son las tres y diez
640,its,son las
641,its a tv,es un televisor
642,its cold,hace frio
643,its cold,esta frio
644,its cool,esta frio
645,its cool,esta fresco
646,its dark,esta oscuro
647,its done,esta listo
648,its fine,esta perfecto
649,its good,esta bien
650,its good,es bueno
651,its here,esta aqui
652,its hers,es de ella
653,its late,es tarde
654,its mine,es mio
655,its mine,es mia
656,its nice,es agradable
657,its nice,hace buen tiempo
658,its okay,vale
659,its okay,esta bien
660,its ours,es nuestro
661,its ours,es la nuestra
662,its over,se termino
663,its over,se acabo
664,its time,ha llegado el momento
665,its time,es la hora
666,its time,es el momento
667,its time,ha llegado la hora
668,its true,es verdad
669,its true,es verdad
670,its work,es mi trabajo
671,keep them,guardalos
672,keep them,quedatelos
673,keep them,guardenselos
674,keep this,guarda esto
675,keep this,guarde esto
676,keep this,guarda esto
677,keep this,guardad esto
678,keep this,guarden esto
679,keep warm,mantente caliente
680,keep warm,mantengase caliente
681,keep warm,mantenete caliente
682,keep warm,mantenete abrigado
683,keep warm,mantente abrigado
684,keep warm,mantengase abrigado
685,keep warm,mantenganse calientes
686,keep warm,mantenganse abrigados
687,leave tom,dejalo a tomas
688,leave tom,dejalo a tomas
689,leave tom,dejelo a tomas
690,leave now,ahora marchate
691,leave now,ahora vete
692,leave now,ahora largate
693,let me go,dejame marchar
694,let me go,sueltame
695,let me go,dejeme ir
696,let me go,dejeme ir
697,let me in,dejame entrar
698,let me in,dejeme entrar
699,let us in,dejanos entrar
700,lets eat,comamos
701,lets see,veamos
702,lets try,intentemoslo
703,lie still,tumbate en silencio
704,lie still,mantente quieto en el suelo
705,listen up,escucha
706,look away,mira para otro lado
707,look away,mira para otro lado
708,look away,mire para otro lado
709,look away,miren para otro lado
710,look back,mira hacia atras
711,look back,mira atras
712,look back,mire atras
713,look back,mirad atras
714,look here,mira aqui
715,look here,mirad aqui
716,look here,miren aqui
717,loosen it,aflojalo
718,loosen it,sueltalo
719,loosen it,sueltala
720,loosen it,aflojala
721,move over,hazte a un lado
722,move over,deja sitio
723,move over,mueve el culo
724,move over,deja pasar
725,nice shot,buen tiro
726,of course,por supuesto
727,open fire,disparad
728,open fire,fuego a discrecion
729,pardon me,perdona
730,please go,por favor ve
731,please go,por favor vete
732,please go,por favor marchate
733,please go,por favor vayase
734,put it on,pontelo
735,put it on,pongaselo
736,read this,lee esto
737,read this,lea esto
738,read this,lean esto
739,read this,leed esto
740,say hello,deci hola
741,search me,a mi que me registren
742,see above,vease arriba
743,see above,vease mas arriba
744,seize him,a por el
745,seize him,cogedlo
746,seize him,arrestadlo
747,seize him,prendedlo
748,seize him,capturadlo
749,seriously,en serio
750,she tried,ella lo intento
751,she tried,ella lo probo
752,she walks,ella anda
753,she walks,ella camina
754,she walks,anda
755,shes hot,ella es candente
756,shes hot,esta como un tren
757,shes hot,esta de toma pan y moja
758,shes hot,esta buena
759,shes hot,esta que cruje
760,sign here,firme aqui
761,sign this,firma esto
762,sign this,firme esto
763,sign this,firmen esto
764,sign this,firma esto
765,sign this,firmad esto
766,sit still,sientate y no te muevas
767,sit still,sientate y quedate quieto
768,sit there,sentate ahi
769,sit tight,tu mantente
770,slow down,quieto
771,slow down,mas despacio
772,stay away,fuera
773,stay away,alejate
774,stay calm,manten la calma
775,stay calm,mantene la calma
776,stay here,quedate aca
777,stay thin,mantente delgado
778,step back,da un paso atras
779,stop here,para aqui
780,stop here,parate aqui
781,stop here,detente aqui
782,stop here,detengase aqui
783,stop here,detenganse aqui
784,stop here,paraos aqui
785,stop here,parad aqui
786,stop that,para eso
787,stop them,detenlos
788,stop them,parales
789,take care,cuidate
790,take care,te cuidas
791,take care,cuidate
792,take care,cuidaos
793,take mine,coge el mio
794,take mine,toma el mio
795,take over,asume el mando
796,take over,toma el control
797,take over,encargate tu
798,take this,toma esto
799,take this,tome esto
800,take this,tomen esto
801,take this,toma esto
802,thank you,gracias
803,thank you,gracias a ti
804,thank you,gracias
805,thats it,eso es
806,thats me,soy yo
807,thats me,ese soy yo
808,then what,entonces que
809,they fell,cayeron
810,they left,se fueron
811,they left,se marcharon
812,they left,se iban
813,they lost,perdieron
814,tom bowed,tom se inclino
815,tom cared,tom se preocupo
816,tom cared,tom se preocupaba
817,tom cared,a tom le importaba
818,tom cares,tom se preocupa
819,tom cares,a tom le importa
820,tom cried,tom lloro
821,tom dozed,tom dormito
822,tom drove,tomas condujo
823,tom is ok,tom esta bien
824,tom is in,tom esta dentro
825,tom is up,tom esta levantado
826,tom knits,tom teje
827,tom knows,tom sabe
828,tom moved,tom se mudo
829,tom moved,tom se movio
830,tom rocks,tom se mece
831,tom stood,tom se quedo
832,tom swims,tom nada
833,tom swore,tom juro
834,tom tried,tomas lo intento
835,tom tries,tomas lo intenta
836,tom voted,tomas voto
837,tom walks,tom camina
838,tom waved,tom saludo
839,tom works,tomas trabaja
840,tomll go,tom ira
841,toms fat,tom esta gordo
842,toms mad,tom esta loco
843,toms sad,tom esta triste
844,toms shy,tom es timido
845,trust tom,confia en tom
846,try again,intentalo de nuevo
847,try again,intentadlo otra vez
848,try again,intenta otra vez
849,try it on,pruebatelo
850,wait here,espera aqui
851,wait here,aguarda aqui
852,wait here,esperen aqui
853,wait here,esperad aqui
854,watch tom,vigila a tom
855,watch out,abusado
856,we can go,podemos ir
857,we can go,podemos irnos
858,we can go,nos podemos marchar
859,we failed,fallamos
860,we failed,hemos fallado
861,we forgot,nos olvidamos
862,we saw it,lo vimos
863,we saw it,lo veiamos
864,we talked,conversamos
865,we waited,nosotros esperamos
866,well see,despues veremos
867,well see,ya veremos
868,well try,lo intentaremos
869,weve won,hemos ganado
870,whats up,que hay
871,who cares,a quien le importa
872,who is he,quien es el
873,who is it,quien es
874,who knows,aabe
875,who stood,quien se quedo
876,wholl go,quien ira
877,whos tom,quien es tom
878,write tom,escribe a tom
879,you drive,tu maneja
880,you idiot,pedazo de idiota
881,you start,tu empieza
882,you tried,lo intentaste
883,youre ok,tu estas perfectamente
884,youre ok,estas perfectamente
885,aim higher,mas alto
886,aim higher,apuntad mas alto
887,all aboard,todos a bordo
888,am i right,tengo razon
889,am i wrong,me equivoco
890,am i wrong,estoy equivocada
891,answer tom,respondale a tomas
892,answer tom,respondele a tomas
893,answer tom,respondanle a tomas
894,are you,tienes dieciocho
895,are you,has cumplido dieciocho
896,are you ok,estas bien
897,are you in,te apuntas
898,are you in,estas dentro
899,are you up,estas levantado
900,ask anyone,preguntale a cualquiera
901,ask anyone,preguntadle a cualquiera
902,ask anyone,preguntele a cualquiera
903,ask anyone,preguntenle a cualquiera
904,ask around,pregunta por aqui
905,ask around,pregunta en los alrededores
906,be careful,ten cuidado
907,be careful,se cuidadoso
908,be content,estate contento
909,be on time,llega a tiempo
910,be on time,llegue a tiempo
911,be patient,sea paciente
912,be serious,se serio
913,birds sing,los pajaros cantan
914,birds sing,los pajaros estan cantando
915,bring food,traed comida
916,bring help,traed ayuda
917,bring wine,trae vino
918,can i come,puedo ir
919,can i come,puedo venir
920,can i come,puedo acercarme
921,can i help,puedo ayudar
922,can i stay,me puedo quedar
923,carry this,lleva esto
924,check that,comprobad eso
925,check this,comprueba esto
926,choose one,escoge uno
927,come again,vuelve otra vez
928,come alone,ven solo
929,come along,vente
930,come along,venganse
931,come early,veni temprano
932,come early,ven temprano
933,come early,vengan temprano
934,come early,venga temprano
935,come on in,pasale
936,come on in,pasele
937,come on in,pasenle
938,come on in,entre
939,come on in,pase
940,come quick,ven rapido
941,come quick,veni rapido
942,come to me,ven a mi
943,come to me,venid a mi
944,come to us,ven a nosotros
945,come to us,venid a nosotros
946,cut it out,ya parale
947,did tom go,fue tom
948,do come in,pasale
949,do come in,pasele
950,do come in,pasenle
951,do come in,pasa adentro
952,do come in,entra de una vez
953,do come in,entra ya
954,do come in,metete dentro
955,do men cry,los hombres lloran
956,dont come,no vengas
957,dont jump,no salteis
958,dont look,no mireis
959,dont move,no os movais
960,dont move,no te muevas
961,dont move,no se mueva
962,dont move,no se muevan
963,dont sing,no cantes
964,dont sing,no canten
965,dont stop,no pares
966,dont talk,no hables
967,dont talk,no hables
968,dont wait,no esperes
969,dont wait,no esperen
970,dont wait,no esperes
971,dont yell,no grites
972,eat slowly,come despacio
973,eat slowly,come despacio
974,fire burns,el fuego quema
975,follow tom,seguilo a tomas
976,follow tom,siguelo a tomas
977,follow tom,sigalo a tomas
978,follow tom,siganlo a tomas
979,follow him,siguele
980,follow him,siguelo
981,forget tom,olvidate de tomas
982,forget tom,olvidate de tomas
983,forget tom,olvidese de tomas
984,forget him,olvidenlo
985,forgive us,perdonanos
986,forgive us,perdonenos
987,get a life,consiguete una vida
988,get inside,entra
989,get to bed,vete a la cama
990,give it up,dejalo
991,go on home,vete a casa
992,go on home,vayase a casa
993,go see tom,ve a ver a tom
994,go to work,anda a trabajar
995,god exists,dios existe
996,have faith,ten fe
997,have faith,tened fe
998,have faith,tengan fe
999,have faith,confien
1000,he ate out,el salio a comer
1001,he coughed,tosio
1002,he gave in,el se rindio
1003,he gave up,se rindio
1004,he gave up,lo dejo
1005,he gave up,cedio
1006,he gave up,tiro la toalla
1007,he hung up,descolgo
1008,he hung up,el cogio el telefono
1009,he is a dj,el es dj
1010,he is here,el esta aqui
1011,he is kind,el es gentil
1012,he is kind,el es amable
1013,he is kind,el es generoso
1014,he is mean,el es mezquino
1015,he is tall,el es alto
1016,he laughed,el se reia
1017,he made it,lo hizo el
1018,he made it,lo logro
1019,he made it,lo hizo
1020,hes broke,esta sin blanca
1021,hes broke,esta arruinado
1022,hes cruel,el es cruel
1023,hes lying,el miente
1024,hes lying,el esta mintiendo
1025,hes smart,es inteligente
1026,hes smart,el es inteligente
1027,here he is,helo aqui
1028,here he is,aqui esta el
1029,here it is,aqui esta
1030,here we go,aqui vamos
1031,hey relax,hey calmate
1032,hold still,quieto
1033,hold still,mantente quieto
1034,how boring,que aburrimiento
1035,how is tom,como esta tom
1036,how lovely,que bonito
1037,how lovely,encantador
1038,how lovely,es una preciosidad
1039,how tragic,que tragico
1040,hows work,que tal el trabajo
1041,hows work,como van las cosas en el trabajo
1042,hurry home,rapido a casa
1043,hurry home,corre vete a casa
1044,i admit it,lo admito
1045,i am a man,soy un hombre
1046,i am a man,soy una persona
1047,i am bored,estoy aburrida
1048,i am happy,soy feliz
1049,i am happy,estoy feliz
1050,i am happy,yo estoy contento
1051,i am human,yo soy humano
1052,i am ready,estoy listo
1053,i am tired,estoy fisurado
1054,i broke it,yo lo rompi
1055,i can help,yo puedo ayudar
1056,i can jump,puedo saltar
1057,i can read,se leer
1058,i can sing,puedo cantar
1059,i can swim,se nadar
1060,i chuckled,solte una risita
1061,i disagree,no estoy de acuerdo
1062,i doubt it,lo dudo
1063,i eat here,como aqui
1064,i eat here,yo como aqui
1065,i eat meat,yo como carne
1066,i envy tom,envidio a tom
1067,i envy him,lo envidio
1068,i feel bad,me siento mal
1069,i feel old,me siento viejo
1070,i felt bad,me sentia mal
1071,i found it,lo encontre
1072,i found it,lo encontre
1073,i got lost,me perdi
1074,i got sick,me puse enfermo
1075,i hate tom,odio a tom
1076,i hate you,te detesto
1077,i have one,tengo uno
1078,i have one,yo tengo uno
1079,i have won,gane
1080,i hear you,te oigo
1081,i help him,le ayudo
1082,i knew tom,conoci a tom
1083,i know tom,conozco a tom
1084,i know her,la conozco
1085,i know him,lo conozco
1086,i know now,ahora se
1087,i like tom,me agrada tom
1088,i like art,me gusta el arte
1089,i like him,me gusta el
1090,i like him,el me gusta
1091,i like tea,me gusta el te
1092,i like you,me agradas
1093,i liked it,me gusto
1094,i love tom,lo amo a tomas
1095,i love him,yo lo amo
1096,i love him,lo amo
1097,i love you,te quiero
1098,i love you,te amo
1099,i love you,te amo
1100,i love you,os amo
1101,i loved it,me encanto
1102,i miss tom,echo de menos a tom
1103,i miss him,le echo de menos
1104,i miss him,lo extrano
1105,i miss you,te echo de menos
1106,i must run,tengo que correr
1107,i need tom,necesito a tom
1108,i need ice,necesito hielo
1109,i promised,prometi
1110,i ran home,me fui corriendo a casa
1111,i ran home,me apresure a ir a casa
1112,i remember,me acuerdo
1113,i remember,yo me acuerdo
1114,i remember,yo recuerdo
1115,i resigned,renuncie
1116,i said yes,dije que si
1117,i said yes,yo decia que si
1118,i sat down,me sente
1119,i sat down,me sentaba
1120,i saw that,lo vi
1121,i saw that,vi eso
1122,i saw that,veia eso
1123,i screamed,grite
1124,i screamed,yo grite
1125,i see them,los veo
1126,i see them,las veo
1127,i shot tom,dispare a tom
1128,i survived,sobrevivi
1129,i think so,creo que si
1130,i think so,eso creo
1131,i threw up,vomite
1132,i told tom,se lo dije a tom
1133,i told tom,se lo he dicho a tom
1134,i use this,uso esto
1135,i use this,utilizo esto
1136,i want tom,quiero a tom
1137,i want one,quiero uno
1138,i want one,quiero una
1139,i want one,quiero uno
1140,i want one,yo quiero uno
1141,i was last,fui el ultimo
1142,i was last,era el ultimo
1143,i was late,llegue tarde
1144,i was sick,yo estaba enfermo
1145,i wont go,no voy a ir
1146,i work out,yo hago ejercicio
1147,i wrote it,yo lo escribi
